所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
预约活动,TC_预约活动_001,预约活动_创建人筛选,1,预约活动活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），预约活动活动列表存在活动数据。,"1. 进入预约活动活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
加价购,TC_加价购_001,加价购_创建人筛选,1,加价购活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），加价购活动列表存在活动数据。,"1. 进入加价购活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
增值服务,TC_增值服务_001,增值服务_创建人筛选,1,增值服务活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），增值服务活动列表存在活动数据。,"1. 进入增值服务活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
首单专享价,TC_首单专享价_001,首单专享价_创建人筛选,1,首单专享价活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），首单专享价活动列表存在活动数据。,"1. 进入首单专享价活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
新品活动,TC_新品活动_001,新品活动_创建人筛选,1,新品活动活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），新品活动活动列表存在活动数据。,"1. 进入新品活动活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
团购活动,TC_团购活动_001,团购活动_创建人筛选,1,团购活动活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），团购活动活动列表存在活动数据。,"1. 进入团购活动活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
创建人筛选专项,TC_创建人筛选专项_001,创建人筛选专项_接口与数据校验,1,创建人筛选接口参数与数据一致性,已登录对应后台，具备 F12 抓包能力，必要时具备数据库查询权限。,"1. F12 打开 Network，在创建人搜索框选择某账号后搜索，找到列表接口请求，核对请求参数携带的是所选账号的 id（精确匹配）及响应结构。
2. 核对列表展示结果与数据库创建人字段一致。","1. 请求携带所选账号 id 且为精确匹配参数；响应 code/message/data 完整，data 中活动创建人与所选账号一致。
2. 列表结果与数据库一致，无多余或遗漏。",,,功能测试,功能测试阶段
创建人筛选专项,TC_创建人筛选专项_002,创建人筛选专项_空条件与异常输入,2,创建人搜索空条件与异常输入不报错,已登录对应后台，活动列表存在数据。,"1. 创建人搜索框保持为空，点击搜索。
2. 输入特殊字符（如 %%、引号）、超长字符串触发联想。","1. 列表展示全部活动，无报错；空条件不影响列表展示。
2. 联想无报错、无异常结果；无匹配时提示无匹配或展示空态。",,,功能测试,功能测试阶段
创建人筛选专项,TC_创建人筛选专项_003,创建人筛选专项_组合筛选,2,创建人与其他筛选条件组合生效,活动列表支持状态筛选与名称搜索。,"1. 选择创建人并选择活动状态（如进行中）搜索。
2. 选择创建人并输入活动名称关键字搜索。","1. 两个条件同时生效，结果同时满足创建人与状态。
2. 两个条件同时生效，结果同时匹配创建人与名称。",,,功能测试,功能测试阶段
创建人筛选专项,TC_创建人筛选专项_004,创建人筛选专项_分页保持,2,创建人筛选后分页条件保持,指定创建人的活动数量超过一页。,1. 选择创建人后翻页，核对各页数据。,1. 翻页后筛选条件保持，各页均只展示该账号创建的活动。,,,功能测试,功能测试阶段
